STATION_NAME,DEPTH_CODE,Sample_depth_m,STATION_CLASS,SHORT_NAME,PROJECT,Date,LATITUDE,LONGITUDE,Bathymetric_depth_m,Secchi_depth_m,NO2_uM,NO3_uM,PN_SHIM_uM,PP_uM,Salinity,TSS_mg/l,Chl_ug/l,LOCATION_NAME
WQQ277,D1,14,R,WHI1,MMP-AIMS,08-Feb-21,-20.105,148.72,18,8,0.01,0.03,1.381425,0.075625,34.7058,1.209,0.391295,Double Cone Island
WQQ334,D0,0,R,WHI1,MMP-AIMS,15-Mar-21,-20.10585,148.7221333,17.4,3.5,0.01,0.03,1.874285,0.096825,34.3906,1.509,0.313255,Double Cone Island
WQQ334,D1,16,R,WHI1,MMP-AIMS,15-Mar-21,-20.10585,148.7221333,17.4,3.5,0.015,0.08,1.924285,0.115585,34.5505,2.634,0.362715,Double Cone Island
WQQ335,D0,0,R,WHI4,MMP-AIMS,15-Mar-21,-20.3798833,148.8875667,22.2,3.5,0.04,0.53,1.495715,0.080425,34.6644,1.959,0.403385,Pine Island
WQQ335,D1,21,R,WHI4,MMP-AIMS,15-Mar-21,-20.3798833,148.8875667,22.2,3.5,0.045,0.19,1.752855,0.126455,34.6633,2.714,0.477025,Pine Island
WQQ336,D0,0,R,WHI5,MMP-AIMS,16-Mar-21,-20.4680167,149.0394333,17.5,3,0.01,0.6,1.72,0.10582,34.6852,2.619,0.440755,Seaforth Island
WQQ336,D1,16,R,WHI5,MMP-AIMS,16-Mar-21,-20.4680167,149.0394333,17.5,3,0.01,0.14,1.934285,0.12857,34.6851,2.974,0.582545,Seaforth Island
WQQ337,D0,0,R,WHI7,MMP-AIMS,16-Mar-21,-20.5765833,148.8599167,17.1,2.5,0.08,0.11,2.434285,0.178835,34.54,6.524,0.578145,Repulse Islands dive mooring
WQQ337,D1,16,R,WHI7,MMP-AIMS,16-Mar-21,-20.5765833,148.8599167,17.1,2.5,0.085,0.095,2.69143,0.221165,34.5489,7.784,0.64849,Repulse Islands dive mooring
WQQ338,D0,0,M,WHI6,MMP-AIMS,16-Mar-21,-20.5782333,148.7095167,7,3,0.01,0.38,2.99143,0.178305,33.1628,1.734,0.35722,O'Connell River
WQQ338,D1,6,M,WHI6,MMP-AIMS,16-Mar-21,-20.5782333,148.7095167,7,3,0.045,0.41,3.96286,0.274605,33.7587,4.784,0.961745,O'Connell River
WQQ340,D0,0,R,WHI7,MMP-AIMS,04-Jun-21,-20.577,148.8605,16,5.5,0.01,0.515,1.43857,0.15957,35.81695,0.984,0.21763,Repulse Islands dive mooring
WQQ340,D1,13,R,WHI7,MMP-AIMS,04-Jun-21,-20.577,148.8605,16,5.5,0.01,0.085,1.224285,0.15044,35.8168,0.974,0.295665,Repulse Islands dive mooring
WQQ341,D0,0,M,WHI6,MMP-AIMS,04-Jun-21,-20.5778333,148.7103333,6.5,2.5,0.01,0.525,2.234285,0.16118,35.62165,2.508,0.33194,O'Connell River
WQQ341,D1,3,M,WHI6,MMP-AIMS,04-Jun-21,-20.5778333,148.7103333,6.5,2.5,0.01,0.06,2.291425,0.171925,35.6405,2.928,0.413275,O'Connell River
WQQ343,D0,0,R,WHI5,MMP-AIMS,04-Jun-21,-20.4684333,149.0407,15,4.5,0.01,0.87,1.31714,0.08811,35.5392,1.254,0.285775,Seaforth Island
WQQ343,D1,13,R,WHI5,MMP-AIMS,04-Jun-21,-20.4684333,149.0407,15,4.5,0.02,0.14,1.531425,0.09402,35.54005,1.304,0.312155,Seaforth Island
WQQ344,D0,0,R,WHI4,MMP-AIMS,05-Jun-21,-20.3796833,148.8873833,24,7,0.02,1.305,0.974285,0.06662,35.5459,1.004,0.30996,Pine Island
WQQ344,D1,18,R,WHI4,MMP-AIMS,05-Jun-21,-20.3796833,148.8873833,24,7,0.02,0.87,1.195715,0.069845,35.55175,1.204,0.261595,Pine Island
WQQ345,D0,0,R,WHI1,MMP-AIMS,05-Jun-21,-20.1082,148.7275833,32,6,0.01,1.01,1.302855,0.081665,35.3806,1.279,0.23192,Double Cone Island
WQQ345,D1,25,R,WHI1,MMP-AIMS,05-Jun-21,-20.1082,148.7275833,32,6,0.01,0.605,1.53143,0.080965,35.37545,1.804,0.237415,Double Cone Island
